,batch,model,wav2vec
0,0,T|SEOE|E||E|E|||E,ER
1,1,T|SEOE|E||E|E|||E,FREND|THAT'S|YOUR|REAL|NAME|GET|OFF|
2,2,T|SEOE|E||E|E|||E,THREATENING|INNOCENT|PEOPLE|ONLY|IN|DANGER|BECAUSE|YOU|SQUEAL|BECAUSE|YOU|HADNAT|COLLONAN|YOU'VE|GONE|BACK|TO|HIM|THAT|WAS|FOR|YOU|OR|THE|SHELL|
3,3,T|SEOE|E||E|E|||E,WHAT|DOES|THAT|MEAN|EVER|LAT|DISPELLED|OUT|FOR|YOU|RED|UH|IA'M|DISAPPOINTED|
4,4,T|SEOE|E||E|E|||E,SO|CAREFULY|K|YOU|LISTENING|YES|HOWBOT|NOW|YOU|LISTENING|FEEL|IT|
5,5,T|SEOE|E||E|E|||E,NOT|BAT|GUYRIT|DON'T|EXPLAIN|THAT|TO|THE|ORPHANS|IN|THE|WIDOWS|OF|MANUCILSHIP|AN'T|YOU|THINK|I'M|JUST|SOME|CRA
6,6,T|SEOE|E||E|E|||E,EASIASS|WILL|GOING|AROUND|ON|LOADINON|WHOEVER|I|WANT|CALENTS|EXACTLY|WHAT|I|PATI|DON'T|THINK|YOUR|ANYTHING|ELSE|I|THINK|THAT|THE|PEOPLE|I|KILL|NEED|KILLING|THAT'S|WHAT|
7,7,T|SEOE|E||E|E|||E,YOU|LEFT|THE|MEN|HANGING|FROM|MEAT|BOOKS|THEY|GOT|OFF|EFEET|MY|OPINION|YOU|SHUT|UP|A|HOSPITAL|THERE|I|NOBODY|GOT|HURT|ER|DIDN'T|DISORVE|ME|
8,8,T|SEOE|E||E|E|||E,WHAT|ABOUT|YOU|FRANK|WHAT|HAPPENS|THE|DAY|SOME|ONE|DECIDES|YOU|DESERVE|IT|TELL|YOU|WHAT|IT'D|BETTER|NOT|MISS|YOU|RUN|A
9,9,T|SEOE|E||E|E|||E,OWN|THE|CITY|LIKE|A|YERDAMNED|SHOOTING|GALLERY|AT|WANT|AR|YOU|DO|WHAT|AR|YOU|DO|THEY|ACT|LIKE|IT|TO|PLAYGROUND|AND|BEAT|UP|THE|BULLIES|WITH|YOUR|FIST|YOU|THROW|EM|
10,10,T|SEOE|E||E|E|||E,|JAIL|EVERYBODY|CALLS|YOU|A|HERE|ARIGHT|AND|THEN|A|MONTH|A|WEEK|A|DAY|LATER|THE|BACK|ON|THE|STREETS|TRON|THE|AS|GOD|YE|THE|SAW|YOU|JUST|PUT|HIM|IN|THE|
11,11,T|SEOE|E||E|E|||E,YO|GOT|DIM|WHENHT|I|DO|YOUARE|TO|THOUN|YOURSELF|FRAGT|DONT|EVEN|FOR|SECOND|REALLY|REALLY|YOU|NEVER|THINK|FOR|ONE|SECOND|SHIT|
12,12,T|SEOE|E||E|E|||E,JUST|KILLED|A|HUMAN|BEING|BEING|PRETTY|GENEROUS|A|SHOW|AND|PRIING|WHO|DID|A|LOT|OF|STUPID|SHIT|MAYBE|EVE|AN|EVIL|BUT|ADD|ONE|SMALL|PIECE|OF|GOODNESS|IN|HIM|
13,13,T|SEOE|E||E|E|||E,MAYBE|JUST|A|SCRAP|RANK|BUT|SOMETHING|AND|THEN|YOU|COME|ALONG|IN|THAT|ONE|TINY|FLICKER|OF|LIGHT|GET|SNUFFED|OUT|FOR|EVER|
14,14,T|SEOE|E||E|E|||E,I|THINK|YOU'RE|WRONG|WHICH|PART|ALL|AS|THINK|ITS|NO|GOODNES|SIL|THAT|I|PUT|DOWN|HIS|
15,15,T|SEOE|E||E|E|||E,ITHINK|AND|HOW|DO|YOU|KNOW|I|JUST|NOW|LOOK|AROUND|MAT|THE|CITY|ITSTANDS|TO|SOUL|IT|STINKS|AND|SMELLS|IT|SHIT|AND|I|CAN'T|GET|THE|STINK|OUT|OF|MY|NO
16,16,T|SEOE|E||E|E|||E,S|I|THINK|THAT|THIS|WORLD|IT|NEEDS|MEN|THAT|ARE|WILLING|TO|MAKE|THE|HARD|CALL|AT|RIGHTLY|I|THINK|LI|ME|ALL|SAY|EY|OR|NO|ONLY|I|DO|THE|ONE|THING|YOU|CA
17,17,T|SEOE|E||E|E|||E,IT|YOU|HIT|HIM|AND|THEY|TEP|BACK|OP|I|HIT|HIM|IN|THEY|STAGT|DOW|IT'S|FORMING|IT|I|MAN|SER|TAIN|THEY|DONT|MAKE|IT|OUT|ON|THE|STREET|AGAIN|I|TAKE|TRYTIN|THAT|AM|ASCU|THIS|
18,18,T|SEOE|E||E|E|||E,WHAT|ABOUT|HOPE|ILL|COME|ON|FI|MY|SAN|AND|LAUSOM|WOND|TALK|ABOUT|SANTA|CLAUS|I|LIVE|IN|THE|REAL|WORD|END|AVE|SEEN|IT|WOL|YOU|SEE|REDEMPTION|FRANK|NOT|ELS|
19,19,T|SEOE|E||E|E|||E,IT'S|POSSIBLE|THE|PEOPLE|YOU|MURDER|DESERVE|ANOTHER|CHANCE|T|KILL|AGAIN|RIG|AGAINS||WELL|FRANK|TO|TRY|AGAIN|FRANK|TO|TRY|
20,20,T|SEOE|E||E|E|||E,AND|IF|YOU|DON'T|GET|THAT|THERE'S|SOMETHING|BROKEN|IN|YOUR|YEUCANFIX|AND|YOU|REALLY|ARE|A|MUT|JOB|YOU|SAY|
21,21,T|SEOE|E||E|E|||E,YOU|YOU'RE|UNHINGED|FRANK|YOU'RE|YOU|THINK|GOD|MADE|YOU|A|O
22,22,T|SEOE|E||E|E|||E,|MAN|FIRING|SQUAL|BUT|YOU'RE|WRONG|THERE|IS|GOODNESS|IN|PEOPLE|EVEN|IN|YOU|AND|YOU'RE|GOING|TO|HAVE|TO|KILL|MECAUSE|I'ML|NEVER|GET|A|STO
